Fecha,Disponibilidad_kWh_0-7,Disponibilidad_kWh_7-17,Disponibilidad_kWh_17-23,Disponibilidad_kWh_Dia
2022-02-07,99855073.6205,141329887.2972,99334908.3583,340519869.276
2022-02-08,96745185.4368,136339724.776,98253032.6938,331337942.9066
2022-02-09,97555546.9696,137408561.8869,97421311.5473,332385420.4038
2022-02-10,94760696.8915,136443804.7736,97038576.2586,328243077.9237
2022-02-11,97239419.7876,140808986.3285,98864492.9909,336912899.107
2022-02-12,94014587.8593,140053945.8844,96968773.285,331037307.0287
2022-02-13,97698048.8891,140933160.1699,97207832.1055,335839041.1645
2022-02-14,90297818.3766,134637722.1939,99611869.2725,324547409.843
2022-02-15,99110309.3002,141236967.2748,97556612.044,337903888.619
2022-02-16,98386842.6445,140511570.0373,98082745.3283,336981158.0101
2022-02-17,98700977.0748,141102060.9987,98807320.4092,338610358.4827
2022-02-18,97897816.0606,141568294.7281,99648441.4655,339114552.2542
2022-02-19,93796040.8447,143198794.6875,101928281.1731,338923116.7053
2022-02-20,100354675.6862,145575304.7585,102437998.8345,348367979.2792
2022-02-21,100617402.4396,146871836.3201,102445712.1407,349934950.9004
2022-02-22,98837311.2192,140473127.2097,99487169.1068,338797607.5357
2022-02-23,98035931.9959,140641223.3718,99366804.1689,338043959.5366
2022-02-24,98684633.3837,141605724.3228,98744291.4609,339034649.1674
2022-02-25,93342315.0611,144957771.9687,101353810.4594,339653897.4892
2022-02-26,98497018.0962,145181850.1263,101595433.5862,345274301.8087
2022-02-27,99916355.0335,145466714.7006,101595659.1452,346978728.8793
2022-02-28,100987671.7733,143468572.0595,99864459.175,344320703.0078
2022-03-01,99549961.8775,142004434.7686,99932098.4232,341486495.0693
2022-03-02,99765630.9313,142456378.6015,101041405.879,343263415.4118
2022-03-03,101196044.3973,145460225.3513,102996740.933,349653010.6816
2022-03-04,102220940.1047,147839820.1547,105758375.0681,355819135.3275
2022-03-05,105780597.9073,147509621.8234,104536497.0812,357826716.8119
2022-03-06,104943465.6216,146613799.034,103231581.7711,354788846.4267
2022-03-07,104863513.2102,150652890.2413,105751269.3428,361267672.7943
2022-03-08,102810622.8181,145514022.8057,101675104.7338,349999750.3576
2022-03-09,99373456.8968,142635771.6682,99837232.6693,341846461.2343
2022-03-10,98274579.375,145079689.0895,101264856.0839,344619124.5484
2022-03-11,92910363.1191,135189129.5249,95994510.4416,324094003.0856
2022-03-12,94884835.3972,138373755.9493,97348908.0235,330607499.37
2022-03-13,94975107.014,137704124.0016,96477456.5687,329156687.5843
2022-03-14,94843049.1652,135621414.474,95200830.852,325665294.4912
2022-03-15,94385836.2095,131711932.6787,96748990.3997,322846759.2879
2022-03-16,96995257.3197,138819837.1549,97918535.3987,333733629.8733
2022-03-17,96490333.812,139227120.2314,100053534.8035,335770988.8469
