Fecha,Generacion_Cogenerador_kWh,Generacion_Eolica_kWh,Generacion_Hidraulica_kWh,Generacion_Solar_kWh,Generacion_Termica_kWh,Generacion_Total_kWh,Generacion_Cogenerador_kWh_Pct,Generacion_Eolica_kWh_Pct,Generacion_Hidraulica_kWh_Pct,Generacion_Solar_kWh_Pct,Generacion_Termica_kWh_Pct
2022-01-01,964401.05,201681.45,119726013.03,1324959.14,38209079.95,160426134.62,0.6011495896752537,0.12571608140888085,74.62999299558889,0.8258998093661105,23.81724152396087
2022-01-02,1664380.05,209820.31,125160173.39,1364370.37,40743104.55,169141848.67,0.9840143424512566,0.12404990938071436,73.99716532257528,0.8066426970784274,24.08812772851432
2022-01-03,1943016.9100000001,237592.73,146881478.98,1310334.27,45120081.28,195492504.17,0.9939086504873638,0.12153546807778866,75.13407207279522,0.6702734079566218,23.080210400683008
2022-01-04,1772319.2,177340.09,164190684.85,1368621.77,34644912.16,202153878.07,0.8767178828923071,0.08772529703268532,81.22064558818187,0.6770197945577311,17.137891437335412
2022-01-05,1815952.5,175562.47,169785451.29,1373725.95,30259227.349999998,203409919.56,0.8927551340308882,0.08630968950765167,83.46960249395224,0.675348553783185,14.875984128726035
2022-01-06,1908854.91,150488.41,170473582.75,1261827.19,30694720.13,204489473.39,0.9334734342825822,0.07359225269898868,83.3654563845811,0.6170621739503713,15.010415754486969
2022-01-07,2329464.94,155479.59,170950134.35,1242795.53,30647433.29,205325307.7,1.1345240224373958,0.07572353926636781,83.25818977939853,0.6052812212588249,14.926281437638874
2022-01-08,2986146.98,142476.95,166868067.22,1347883.84,28323475.44,199668050.43,1.4955557354164124,0.07135690947708724,83.57274329099583,0.6750623532894882,14.18528171082118
2022-01-09,3050560.95,118936.09,154416893.26,1361124.09,24196135.66,183143650.05,1.6656656942062513,0.06494142164772258,84.31463128415463,0.7432002636337104,13.211561336357672
2022-01-10,3129383.03,106881.09,156398960.27,1236504.65,23813963.05,184685692.09,1.6944371784225742,0.057871884275645616,84.68385314536685,0.6695183779572017,12.894319413977728
2022-01-11,3089865.49,109491.0,165430245.77,1077291.95,33608220.25,203315114.46,1.5197421491297425,0.05385285805770291,81.36642777856369,0.5298631893950734,16.53011402485379
2022-01-12,2915526.77,102789.24,158910750.8,1316632.1600000001,45039035.22,208284734.19,1.3997793843788953,0.04935034744612361,76.29495815811427,0.6321308976964926,21.623781212364232
2022-01-13,3157041.22,75524.46,161080917.79,1085913.1099999999,48417755.66,213817152.24,1.4765144830178851,0.03532198385807105,75.33582600950274,0.5078699714329334,22.644467552188363
2022-01-14,3009159.45,36955.16,156143553.89,1123595.9,51240793.21,211554057.60999998,1.4224068703741846,0.017468424107528517,73.80787475976977,0.5311152679809855,24.221134677767527
2022-01-15,3096322.17,99546.11,145133685.04,1131860.04,51267972.68,200729386.04,1.5425355654617434,0.04959219572373082,72.3031579497178,0.5638736122943407,25.540840676802386
2022-01-16,3260814.4400000004,135232.03,131384266.77,1083764.59,51136803.29,187000881.12,1.7437428211407777,0.07231625283798555,70.25863513749415,0.5795505259167947,27.345755262610282
2022-01-17,3151767.63,154778.34,158773703.05,982382.17,46596686.08,209659317.27,1.5032804985915043,0.07382373557988645,75.72938093923614,0.468561179532453,22.224953647060016
2022-01-18,3214866.26,161931.94,161466351.21,1011211.6799999999,47188937.74,213043298.82999998,1.5090201276714807,0.076008933812659,75.79039195165846,0.4746507801716431,22.14992820668576
2022-01-19,3434575.28,181030.98,162762452.84,1341021.99,46481434.48,214200515.57,1.6034393151951085,0.08451472654875086,75.98602291263383,0.6260591793775392,21.69996386624477
2022-01-20,3211035.12,216844.63,163178541.59,1092688.71,48185989.75,215885099.8,1.487381539057009,0.1004444633746789,75.58582863809113,0.5061436435457043,22.320201715931486
2022-01-21,3210933.7,189721.05,164016553.15,1131442.16,50492948.39,219041598.45,1.46590132774846,0.08661416431514359,74.87918016971538,0.5165421399434642,23.05176219827755
2022-01-22,3231961.3,165733.38,153042600.32999998,1255110.08,50265335.12,207960740.21,1.554120886825247,0.07969455188159143,73.59206366329369,0.6035322237902127,24.170588674209256
2022-01-23,3143704.15,120119.09,137560859.84,1235501.23,47819997.1,189880181.41,1.6556252088320562,0.06326046726310636,72.4461388326625,0.6506741360922951,25.18430135515005
2022-01-24,2678426.42,114704.78,158569200.01,1211354.29,50525680.67,213099366.17000002,1.256890843055481,0.05382689871939565,74.41092052967507,0.5684457498731564,23.70991597867689
2022-01-25,2671489.21,138880.77,156212148.86,1189544.27,54888817.0,215100880.10999998,1.2419703762410608,0.06456541225167375,72.6227381218129,0.5530169236832883,25.517709166011095
2022-01-26,2451345.66,117736.0,158130055.4,1077332.81,53517408.99,215293878.85999998,1.1386044382590397,0.05468618087212812,73.44846785115887,0.5004010405240372,24.85784048918594
2022-01-27,2906015.99,107080.36,158624390.41,1307982.1,53177649.07,216123117.93,1.3446113575601977,0.04954599999555911,73.3953831174029,0.6052023090022427,24.60525721603909
2022-01-28,3167807.69,92247.05,158849206.45,1322413.88,52911902.03,216343577.1,1.4642485496741842,0.042639144289160415,73.42450771098025,0.611256362553691,24.457348232502717
2022-01-29,3122418.8,20551.74,150626827.14000002,1226695.46,50743254.14,205739747.28,1.5176546298322058,0.009989192789291347,73.21231270640453,0.5962364959700945,24.663806975003883
2022-01-30,3148858.05,51742.73,128308101.42,1210806.71,51788348.19,184507857.1,1.7066254518870567,0.02804364584428313,69.54072495159883,0.6562358530584224,28.068370097611417
2022-01-31,3134582.86,67275.65,154691093.67,1263358.26,49051778.47,208208088.91,1.5055048420116637,0.03231173695133456,74.29638996247967,0.6067767427355327,23.559016715821794
2022-02-01,3006380.57,94217.83,159764853.78,1352909.95,49446314.56,213664676.69,1.4070554930152877,0.044096118955918,74.77363888828394,0.6331930813079124,23.14201641843694
2022-02-02,3408199.56,150242.23,156250911.81,1328764.11,54756714.91,215894832.62,1.578638783818799,0.06959047059011542,72.37362280227418,0.6154682323216042,25.362679710995295
2022-02-03,3315220.12,168790.09,153833695.69,1138756.3,59584675.28,218041137.48,1.5204562580784058,0.07741203882477563,70.55260189335168,0.5222667213907988,27.327263088354353
2022-02-04,3121873.77,144287.28,163338771.39,1171640.23,50367114.089999996,218143686.76,1.4311089247495214,0.06614322978722907,74.87668967917648,0.5370956397601502,23.088962526526615
2022-02-05,3131889.71,90919.89,146862587.85,894939.63,55849602.8,206829939.88,1.5142342118443206,0.04395876634337878,71.00644516708158,0.4326934632960935,27.002668391434625
2022-02-06,2378886.27,115133.49,129616663.53,946263.8,53386643.86,186443590.95,1.2759281549334482,0.0617524525318096,69.52057878179374,0.5075335629282998,28.63420704781271
2022-02-07,2360915.64,135797.31,154910919.18,803213.1,52519825.44,210730670.67000002,1.1203474237962951,0.06444117012879243,73.511330214759,0.3811562395954291,24.922724951720475
2022-02-08,2571498.68,118074.84,160325739.28,792332.61,48252609.160000004,212060254.57,1.2126264231900945,0.05567985393558231,75.60386061268134,0.3736356025822157,22.754197507610776
2022-02-09,2922304.2,134425.98,160494395.99,711941.36,48221179.68,212484247.21,1.3753039288187145,0.06326397451343566,75.53237385705211,0.3350560662016428,22.694002173414106
2022-02-10,2893223.95,150811.23,161333027.17,1144199.22,47528492.7,213049754.27,1.3580038897080302,0.0707868593966438,75.7255166629017,0.5370572821923771,22.30863530580124
2022-02-11,3062670.04,160622.31,162471841.25,1234650.4100000001,49017392.16,215947176.17,1.4182496360077317,0.07438037062987728,75.2368445522517,0.5717372331037323,22.69878820800697
2022-02-12,3129754.19,223841.16,154368210.83,1200518.94,49832278.17,208754603.29,1.499250383308757,0.10722693366863958,73.94721285046496,0.5750862117911,23.87122362076656
2022-02-13,3137049.7,171989.81,137829629.99,1381428.1500000001,48390320.63,190910418.28,1.6432050844910024,0.09008927409490562,72.19597088088263,0.723600190312254,25.347134570219225
2022-02-14,2697488.45,171773.95,161133398.94,1056198.78,48272137.71,213330997.83,1.2644615538476902,0.08051992056816978,75.53210765385562,0.4950985983019999,22.627812273426517
