CodigoVariable,Fecha,CodigoDuracion,UnidadMedida,Version,Valor
PPBOGReal,2024-01-02,P1D,COP/kWh,TX4,389.1913
PPBO,2024-01-02,P1D,COP/kWh,TX5,383.5291
PPBOGReal,2024-01-02,P1D,COP/kWh,TX5,389.4609
PPBO,2024-01-02,P1D,COP/kWh,TXF,395.6957
PPBOGReal,2024-01-02,P1D,COP/kWh,TXF,401.7086
PPBO,2024-01-02,P1D,COP/kWh,TX2,397.6933
PPBOGReal,2024-01-02,P1D,COP/kWh,TX2,403.499
PPBO,2024-01-02,P1D,COP/kWh,TXR,396.4192
PPBOGReal,2024-01-02,P1D,COP/kWh,TXR,402.2278
PPBOGReal,2024-01-02,P1D,COP/kWh,TX1,403.4976
PPBOGReal,2024-01-01,P1D,COP/kWh,TXF,225.62
PPBO,2024-01-01,P1D,COP/kWh,TXF,220.8552
PPBOGReal,2024-01-01,P1D,COP/kWh,TX5,226.1358
PPBO,2024-01-01,P1D,COP/kWh,TX5,221.3645
PPBOGReal,2024-01-01,P1D,COP/kWh,TX4,225.8661
PPBO,2024-01-01,P1D,COP/kWh,TX4,221.0948
PPBOGReal,2024-01-01,P1D,COP/kWh,TX1,223.7005
PPBOGReal,2024-01-01,P1D,COP/kWh,TXR,222.9618
PPBO,2024-01-01,P1D,COP/kWh,TXR,217.7473
PPBOGReal,2024-01-01,P1D,COP/kWh,TX2,224.287
PPBO,2024-01-01,P1D,COP/kWh,TX2,219.0837
PPBO,2024-02-29,P1D,COP/kWh,TX3,496.3367
PPBOGReal,2024-02-29,P1D,COP/kWh,TX3,496.4883
PPBO,2024-02-29,P1D,COP/kWh,TX2,496.2492
PPBOGReal,2024-02-29,P1D,COP/kWh,TX2,496.3909
PPBO,2024-02-29,P1D,COP/kWh,TXR,496.3506
PPBOGReal,2024-02-29,P1D,COP/kWh,TXR,496.4923
PPBOGReal,2024-02-29,P1D,COP/kWh,TX1,496.3794
PPBO,2024-02-29,P1D,COP/kWh,TX5,496.4005
PPBOGReal,2024-02-29,P1D,COP/kWh,TX5,496.5531
PPBO,2024-02-29,P1D,COP/kWh,TXF,496.3157
PPBOGReal,2024-02-29,P1D,COP/kWh,TXF,496.4671
PPBO,2024-02-29,P1D,COP/kWh,TX4,496.4005
PPBOGReal,2024-02-29,P1D,COP/kWh,TX4,496.5531
PPBO,2024-02-29,P1D,COP/kWh,TX6,496.6286
PPBOGReal,2024-02-29,P1D,COP/kWh,TX6,496.7812
PPBOGReal,2024-02-28,P1D,COP/kWh,TX1,481.4558
PPBO,2024-02-28,P1D,COP/kWh,TXR,490.2035
PPBOGReal,2024-02-28,P1D,COP/kWh,TXR,486.616
PPBO,2024-02-28,P1D,COP/kWh,TX2,489.9571
PPBOGReal,2024-02-28,P1D,COP/kWh,TX2,486.4521
PPBO,2024-02-28,P1D,COP/kWh,TX3,489.3835
PPBOGReal,2024-02-28,P1D,COP/kWh,TX3,485.9275
PPBO,2024-02-28,P1D,COP/kWh,TX6,489.9484
PPBOGReal,2024-02-28,P1D,COP/kWh,TX6,486.5214
PPBO,2024-02-28,P1D,COP/kWh,TXF,496.2579
PPBOGReal,2024-02-28,P1D,COP/kWh,TXF,492.8257
PPBO,2024-02-28,P1D,COP/kWh,TX4,489.7439
PPBOGReal,2024-02-28,P1D,COP/kWh,TX4,486.3155
PPBO,2024-02-28,P1D,COP/kWh,TX5,489.7203
PPBOGReal,2024-02-28,P1D,COP/kWh,TX5,486.2933
PPBOGReal,2024-02-27,P1D,COP/kWh,TX1,536.7733
PPBO,2024-02-27,P1D,COP/kWh,TX3,536.8447
PPBOGReal,2024-02-27,P1D,COP/kWh,TX3,537.0144
PPBO,2024-02-27,P1D,COP/kWh,TX2,536.5932
PPBOGReal,2024-02-27,P1D,COP/kWh,TX2,536.7722
PPBO,2024-02-27,P1D,COP/kWh,TXR,536.7016
PPBOGReal,2024-02-27,P1D,COP/kWh,TXR,536.8853
PPBO,2024-02-27,P1D,COP/kWh,TX4,536.2076
PPBOGReal,2024-02-27,P1D,COP/kWh,TX4,536.3296
PPBO,2024-02-27,P1D,COP/kWh,TX6,536.4356
PPBOGReal,2024-02-27,P1D,COP/kWh,TX6,536.5578
PPBO,2024-02-27,P1D,COP/kWh,TXF,537.5821
PPBOGReal,2024-02-27,P1D,COP/kWh,TXF,537.7644
PPBO,2024-02-27,P1D,COP/kWh,TX5,536.2075
PPBOGReal,2024-02-27,P1D,COP/kWh,TX5,536.3296
PPBO,2024-02-26,P1D,COP/kWh,TX2,561.8169
PPBOGReal,2024-02-26,P1D,COP/kWh,TX4,567.361
PPBO,2024-02-26,P1D,COP/kWh,TX4,565.3337
PPBOGReal,2024-02-26,P1D,COP/kWh,TX6,567.5891
PPBO,2024-02-26,P1D,COP/kWh,TX6,565.5617
PPBOGReal,2024-02-26,P1D,COP/kWh,TXF,567.272
PPBO,2024-02-26,P1D,COP/kWh,TXF,565.2615
PPBOGReal,2024-02-26,P1D,COP/kWh,TX5,567.361
PPBO,2024-02-26,P1D,COP/kWh,TX5,565.3336
PPBOGReal,2024-02-26,P1D,COP/kWh,TX1,563.2001
PPBOGReal,2024-02-26,P1D,COP/kWh,TX3,567.3326
PPBO,2024-02-26,P1D,COP/kWh,TX3,565.324
PPBOGReal,2024-02-26,P1D,COP/kWh,TXR,563.7113
PPBO,2024-02-26,P1D,COP/kWh,TXR,561.9293
PPBOGReal,2024-02-26,P1D,COP/kWh,TX2,563.5992
PPBOGReal,2024-02-25,P1D,COP/kWh,TX1,541.1552
PPBOGReal,2024-02-25,P1D,COP/kWh,TX3,555.9411
PPBO,2024-02-25,P1D,COP/kWh,TX3,555.901
PPBOGReal,2024-02-25,P1D,COP/kWh,TX2,541.1546
PPBO,2024-02-25,P1D,COP/kWh,TX2,540.7404
PPBOGReal,2024-02-25,P1D,COP/kWh,TXR,541.7079
PPBO,2024-02-25,P1D,COP/kWh,TXR,541.3134
PPBOGReal,2024-02-25,P1D,COP/kWh,TX6,556.1751
PPBO,2024-02-25,P1D,COP/kWh,TX6,556.1329
PPBOGReal,2024-02-25,P1D,COP/kWh,TX4,555.9469
PPBO,2024-02-25,P1D,COP/kWh,TX4,555.9048
PPBOGReal,2024-02-25,P1D,COP/kWh,TXF,555.8613
PPBO,2024-02-25,P1D,COP/kWh,TXF,555.8247
PPBOGReal,2024-02-25,P1D,COP/kWh,TX5,555.947
PPBO,2024-02-25,P1D,COP/kWh,TX5,555.9048
PPBO,2024-02-24,P1D,COP/kWh,TXR,586.352
PPBOGReal,2024-02-24,P1D,COP/kWh,TXR,588.0939
PPBO,2024-02-24,P1D,COP/kWh,TX2,586.7783
PPBOGReal,2024-02-24,P1D,COP/kWh,TX2,588.6429
PPBO,2024-02-24,P1D,COP/kWh,TX3,586.2007
PPBOGReal,2024-02-24,P1D,COP/kWh,TX3,587.7461
PPBOGReal,2024-02-24,P1D,COP/kWh,TX1,588.7408
PPBO,2024-02-24,P1D,COP/kWh,TX6,586.3317
PPBOGReal,2024-02-24,P1D,COP/kWh,TX6,588.1194
PPBO,2024-02-24,P1D,COP/kWh,TX5,586.1036
PPBOGReal,2024-02-24,P1D,COP/kWh,TX5,587.8913
PPBO,2024-02-24,P1D,COP/kWh,TXF,586.1336
PPBOGReal,2024-02-24,P1D,COP/kWh,TXF,587.6803
PPBO,2024-02-24,P1D,COP/kWh,TX4,586.1038
PPBOGReal,2024-02-24,P1D,COP/kWh,TX4,587.8913
PPBOGReal,2024-02-23,P1D,COP/kWh,TX4,572.2954
PPBO,2024-02-23,P1D,COP/kWh,TX4,570.1707
PPBOGReal,2024-02-23,P1D,COP/kWh,TX6,572.5235
PPBO,2024-02-23,P1D,COP/kWh,TX6,570.3986
PPBOGReal,2024-02-23,P1D,COP/kWh,TX5,572.2954
PPBO,2024-02-23,P1D,COP/kWh,TX5,570.1705
PPBOGReal,2024-02-23,P1D,COP/kWh,TXF,573.4798
PPBO,2024-02-23,P1D,COP/kWh,TXF,571.2595
PPBOGReal,2024-02-23,P1D,COP/kWh,TX1,573.4672
PPBOGReal,2024-02-23,P1D,COP/kWh,TX2,573.3921
PPBO,2024-02-23,P1D,COP/kWh,TX2,571.1722
PPBOGReal,2024-02-23,P1D,COP/kWh,TX3,573.5738
PPBO,2024-02-23,P1D,COP/kWh,TX3,571.3497
PPBOGReal,2024-02-23,P1D,COP/kWh,TXR,573.505
PPBO,2024-02-23,P1D,COP/kWh,TXR,571.2798
PPBO,2024-02-22,P1D,COP/kWh,TXR,516.6929
PPBOGReal,2024-02-22,P1D,COP/kWh,TXR,510.1295
PPBO,2024-02-22,P1D,COP/kWh,TX2,516.5864
PPBOGReal,2024-02-22,P1D,COP/kWh,TX2,510.0218
PPBO,2024-02-22,P1D,COP/kWh,TX3,523.6834
PPBOGReal,2024-02-22,P1D,COP/kWh,TX3,518.2372
PPBOGReal,2024-02-22,P1D,COP/kWh,TX1,509.9799
PPBO,2024-02-22,P1D,COP/kWh,TXF,521.1937
PPBOGReal,2024-02-22,P1D,COP/kWh,TXF,515.102
PPBO,2024-02-22,P1D,COP/kWh,TX5,516.8941
PPBOGReal,2024-02-22,P1D,COP/kWh,TX5,512.0206
PPBO,2024-02-22,P1D,COP/kWh,TX4,516.8962
PPBOGReal,2024-02-22,P1D,COP/kWh,TX4,512.0212
PPBO,2024-02-22,P1D,COP/kWh,TX6,517.1222
PPBOGReal,2024-02-22,P1D,COP/kWh,TX6,512.2487
PPBO,2024-02-21,P1D,COP/kWh,TX3,600.9204
PPBOGReal,2024-02-21,P1D,COP/kWh,TX3,600.9372
PPBO,2024-02-21,P1D,COP/kWh,TX2,601.4323
PPBOGReal,2024-02-21,P1D,COP/kWh,TX2,601.4333
PPBO,2024-02-21,P1D,COP/kWh,TXR,601.538
PPBOGReal,2024-02-21,P1D,COP/kWh,TXR,601.539
PPBOGReal,2024-02-21,P1D,COP/kWh,TX1,601.436
PPBO,2024-02-21,P1D,COP/kWh,TX6,601.16
PPBOGReal,2024-02-21,P1D,COP/kWh,TX6,601.1769
PPBO,2024-02-21,P1D,COP/kWh,TX5,600.9319
PPBOGReal,2024-02-21,P1D,COP/kWh,TX5,600.9488
PPBO,2024-02-21,P1D,COP/kWh,TXF,601.1507
PPBOGReal,2024-02-21,P1D,COP/kWh,TXF,601.1685
PPBO,2024-02-21,P1D,COP/kWh,TX4,600.9318
PPBOGReal,2024-02-21,P1D,COP/kWh,TX4,600.9488
PPBO,2024-02-20,P1D,COP/kWh,TX4,581.5644
PPBOGReal,2024-02-20,P1D,COP/kWh,TX4,582.7381
PPBO,2024-02-20,P1D,COP/kWh,TX6,581.7922
PPBOGReal,2024-02-20,P1D,COP/kWh,TX6,582.9662
PPBO,2024-02-20,P1D,COP/kWh,TX5,581.5641
PPBOGReal,2024-02-20,P1D,COP/kWh,TX5,582.7381
PPBOGReal,2024-02-20,P1D,COP/kWh,TX1,582.6512
PPBO,2024-02-20,P1D,COP/kWh,TXR,581.517
PPBOGReal,2024-02-20,P1D,COP/kWh,TXR,582.6806
PPBO,2024-02-20,P1D,COP/kWh,TX3,582.3722
PPBOGReal,2024-02-20,P1D,COP/kWh,TX3,583.4572
PPBO,2024-02-20,P1D,COP/kWh,TX2,581.4742
PPBOGReal,2024-02-20,P1D,COP/kWh,TX2,582.6508
PPBO,2024-02-20,P1D,COP/kWh,TXF,582.0894
PPBOGReal,2024-02-20,P1D,COP/kWh,TXF,583.19
PPBOGReal,2024-02-19,P1D,COP/kWh,TXF,576.7332
PPBO,2024-02-19,P1D,COP/kWh,TXF,576.1629
PPBOGReal,2024-02-19,P1D,COP/kWh,TX6,575.7017
PPBO,2024-02-19,P1D,COP/kWh,TX6,574.7778
PPBOGReal,2024-02-19,P1D,COP/kWh,TX5,575.4736
PPBO,2024-02-19,P1D,COP/kWh,TX5,574.5497
PPBOGReal,2024-02-19,P1D,COP/kWh,TX4,576.5093
PPBO,2024-02-19,P1D,COP/kWh,TX4,575.856
PPBOGReal,2024-02-19,P1D,COP/kWh,TX1,579.3027
PPBOGReal,2024-02-19,P1D,COP/kWh,TX3,577.5659
PPBO,2024-02-19,P1D,COP/kWh,TX3,576.8731
PPBOGReal,2024-02-19,P1D,COP/kWh,TX2,576.6456
PPBO,2024-02-19,P1D,COP/kWh,TX2,576.0768
PPBOGReal,2024-02-19,P1D,COP/kWh,TXR,576.7583
PPBO,2024-02-19,P1D,COP/kWh,TXR,576.1896
PPBO,2024-02-18,P1D,COP/kWh,TX6,551.8825
PPBOGReal,2024-02-18,P1D,COP/kWh,TX6,551.3774
PPBO,2024-02-18,P1D,COP/kWh,TX4,551.6468
PPBOGReal,2024-02-18,P1D,COP/kWh,TX4,551.1493
PPBO,2024-02-18,P1D,COP/kWh,TX5,551.6467
PPBOGReal,2024-02-18,P1D,COP/kWh,TX5,551.1493
PPBO,2024-02-18,P1D,COP/kWh,TXF,551.2949
PPBOGReal,2024-02-18,P1D,COP/kWh,TXF,550.7927
PPBO,2024-02-18,P1D,COP/kWh,TX3,551.3322
PPBOGReal,2024-02-18,P1D,COP/kWh,TX3,550.8288
PPBO,2024-02-18,P1D,COP/kWh,TX2,551.193
PPBOGReal,2024-02-18,P1D,COP/kWh,TX2,550.7004
PPBO,2024-02-18,P1D,COP/kWh,TXR,551.3167
PPBOGReal,2024-02-18,P1D,COP/kWh,TXR,550.8132
PPBOGReal,2024-02-18,P1D,COP/kWh,TX1,550.2902
PPBOGReal,2024-02-17,P1D,COP/kWh,TX4,566.7193
PPBO,2024-02-17,P1D,COP/kWh,TX4,567.7154
PPBOGReal,2024-02-17,P1D,COP/kWh,TX6,566.9475
PPBO,2024-02-17,P1D,COP/kWh,TX6,567.9435
PPBOGReal,2024-02-17,P1D,COP/kWh,TXF,566.7096
PPBO,2024-02-17,P1D,COP/kWh,TXF,567.706
PPBOGReal,2024-02-17,P1D,COP/kWh,TX5,566.7194
PPBO,2024-02-17,P1D,COP/kWh,TX5,567.7154
PPBOGReal,2024-02-17,P1D,COP/kWh,TX3,566.7321
PPBO,2024-02-17,P1D,COP/kWh,TX3,567.7288
PPBOGReal,2024-02-17,P1D,COP/kWh,TX2,566.6191
PPBO,2024-02-17,P1D,COP/kWh,TX2,567.6156
PPBOGReal,2024-02-17,P1D,COP/kWh,TXR,566.732
PPBO,2024-02-17,P1D,COP/kWh,TXR,567.7287
PPBOGReal,2024-02-17,P1D,COP/kWh,TX1,564.5668
PPBOGReal,2024-02-16,P1D,COP/kWh,TX6,539.7211
PPBO,2024-02-16,P1D,COP/kWh,TX6,539.7094
PPBOGReal,2024-02-16,P1D,COP/kWh,TX4,539.3806
PPBO,2024-02-16,P1D,COP/kWh,TX4,539.3651
PPBOGReal,2024-02-16,P1D,COP/kWh,TX5,539.4929
PPBO,2024-02-16,P1D,COP/kWh,TX5,539.4813
PPBOGReal,2024-02-16,P1D,COP/kWh,TXF,539.7625
PPBO,2024-02-16,P1D,COP/kWh,TXF,539.7266
PPBOGReal,2024-02-16,P1D,COP/kWh,TX3,539.7887
PPBO,2024-02-16,P1D,COP/kWh,TX3,539.7526
PPBOGReal,2024-02-16,P1D,COP/kWh,TXR,539.3582
PPBO,2024-02-16,P1D,COP/kWh,TXR,539.3408
PPBOGReal,2024-02-16,P1D,COP/kWh,TX2,538.1242
PPBO,2024-02-16,P1D,COP/kWh,TX2,538.122
PPBOGReal,2024-02-16,P1D,COP/kWh,TX1,538.1263
PPBOGReal,2024-02-15,P1D,COP/kWh,TX4,599.5871
PPBO,2024-02-15,P1D,COP/kWh,TX4,597.8185
PPBOGReal,2024-02-15,P1D,COP/kWh,TX6,599.816
PPBO,2024-02-15,P1D,COP/kWh,TX6,598.0464
PPBOGReal,2024-02-15,P1D,COP/kWh,TXF,599.4787
PPBO,2024-02-15,P1D,COP/kWh,TXF,597.7474
PPBOGReal,2024-02-15,P1D,COP/kWh,TX5,599.5879
PPBO,2024-02-15,P1D,COP/kWh,TX5,597.8183
PPBOGReal,2024-02-15,P1D,COP/kWh,TXR,599.5146
PPBO,2024-02-15,P1D,COP/kWh,TXR,597.7642
PPBOGReal,2024-02-15,P1D,COP/kWh,TX3,599.5297
PPBO,2024-02-15,P1D,COP/kWh,TX3,597.8012
PPBOGReal,2024-02-15,P1D,COP/kWh,TX2,603.0449
PPBO,2024-02-15,P1D,COP/kWh,TX2,600.7224
PPBOGReal,2024-02-15,P1D,COP/kWh,TX1,603.0438
PPBO,2024-02-14,P1D,COP/kWh,TX6,600.9646
PPBOGReal,2024-02-14,P1D,COP/kWh,TX6,601.5421
PPBO,2024-02-14,P1D,COP/kWh,TX5,600.7365
PPBOGReal,2024-02-14,P1D,COP/kWh,TX5,601.314
PPBOGReal,2024-02-14,P1D,COP/kWh,TX1,611.9841
PPBO,2024-02-14,P1D,COP/kWh,TX3,597.2589
PPBOGReal,2024-02-14,P1D,COP/kWh,TX3,597.7848
PPBO,2024-02-14,P1D,COP/kWh,TX2,611.4653
PPBOGReal,2024-02-14,P1D,COP/kWh,TX2,611.9814
PPBO,2024-02-14,P1D,COP/kWh,TXR,618.1771
PPBOGReal,2024-02-14,P1D,COP/kWh,TXR,619.147
PPBO,2024-02-14,P1D,COP/kWh,TXF,618.2295
PPBOGReal,2024-02-14,P1D,COP/kWh,TXF,619.1968
PPBO,2024-02-14,P1D,COP/kWh,TX4,600.7366
PPBOGReal,2024-02-14,P1D,COP/kWh,TX4,601.3136
PPBO,2024-02-13,P1D,COP/kWh,TX3,597.1301
PPBOGReal,2024-02-13,P1D,COP/kWh,TX3,597.9804
PPBO,2024-02-13,P1D,COP/kWh,TXR,597.0832
PPBOGReal,2024-02-13,P1D,COP/kWh,TXR,597.9694
PPBO,2024-02-13,P1D,COP/kWh,TX2,596.3487
PPBOGReal,2024-02-13,P1D,COP/kWh,TX2,597.2032
PPBO,2024-02-13,P1D,COP/kWh,TXF,597.0956
PPBOGReal,2024-02-13,P1D,COP/kWh,TXF,597.9466
PPBO,2024-02-13,P1D,COP/kWh,TX4,597.1814
PPBOGReal,2024-02-13,P1D,COP/kWh,TX4,598.0321
PPBO,2024-02-13,P1D,COP/kWh,TX6,597.4092
PPBOGReal,2024-02-13,P1D,COP/kWh,TX6,598.2603
PPBO,2024-02-13,P1D,COP/kWh,TX5,597.1811
PPBOGReal,2024-02-13,P1D,COP/kWh,TX5,598.0322
PPBOGReal,2024-02-13,P1D,COP/kWh,TX1,597.2036
PPBOGReal,2024-02-12,P1D,COP/kWh,TX5,575.0607
PPBO,2024-02-12,P1D,COP/kWh,TX5,573.8901
PPBOGReal,2024-02-12,P1D,COP/kWh,TX6,575.2888
PPBO,2024-02-12,P1D,COP/kWh,TX6,574.1182
PPBOGReal,2024-02-12,P1D,COP/kWh,TXF,574.8654
PPBO,2024-02-12,P1D,COP/kWh,TXF,573.695
PPBOGReal,2024-02-12,P1D,COP/kWh,TX4,575.0607
PPBO,2024-02-12,P1D,COP/kWh,TX4,573.8905
PPBOGReal,2024-02-12,P1D,COP/kWh,TX3,574.9937
PPBO,2024-02-12,P1D,COP/kWh,TX3,573.8229
PPBOGReal,2024-02-12,P1D,COP/kWh,TXR,574.8888
PPBO,2024-02-12,P1D,COP/kWh,TXR,573.717
PPBOGReal,2024-02-12,P1D,COP/kWh,TX2,574.7808
PPBO,2024-02-12,P1D,COP/kWh,TX2,573.6087
PPBOGReal,2024-02-12,P1D,COP/kWh,TX1,574.7829
PPBO,2024-02-11,P1D,COP/kWh,TX3,545.9196
PPBOGReal,2024-02-11,P1D,COP/kWh,TX3,544.5794
PPBO,2024-02-11,P1D,COP/kWh,TX2,544.4686
PPBOGReal,2024-02-11,P1D,COP/kWh,TX2,543.1253
PPBO,2024-02-11,P1D,COP/kWh,TXR,544.5739
PPBOGReal,2024-02-11,P1D,COP/kWh,TXR,543.2314
PPBOGReal,2024-02-11,P1D,COP/kWh,TX1,543.2376
PPBO,2024-02-11,P1D,COP/kWh,TX5,545.9885
PPBOGReal,2024-02-11,P1D,COP/kWh,TX5,544.6464
PPBO,2024-02-11,P1D,COP/kWh,TX6,546.2166
PPBOGReal,2024-02-11,P1D,COP/kWh,TX6,544.8745
PPBO,2024-02-11,P1D,COP/kWh,TXF,544.5558
PPBOGReal,2024-02-11,P1D,COP/kWh,TXF,543.2139
PPBO,2024-02-11,P1D,COP/kWh,TX4,545.987
PPBOGReal,2024-02-11,P1D,COP/kWh,TX4,544.6463
PPBOGReal,2024-02-10,P1D,COP/kWh,TX1,532.9177
PPBOGReal,2024-02-10,P1D,COP/kWh,TXR,535.4434
PPBO,2024-02-10,P1D,COP/kWh,TXR,537.2224
PPBOGReal,2024-02-10,P1D,COP/kWh,TX2,535.3294
PPBO,2024-02-10,P1D,COP/kWh,TX2,537.1065
PPBOGReal,2024-02-10,P1D,COP/kWh,TX3,528.1071
PPBO,2024-02-10,P1D,COP/kWh,TX3,528.7936
PPBOGReal,2024-02-10,P1D,COP/kWh,TX5,535.3418
PPBO,2024-02-10,P1D,COP/kWh,TX5,537.1364
PPBOGReal,2024-02-10,P1D,COP/kWh,TX6,535.5699
PPBO,2024-02-10,P1D,COP/kWh,TX6,537.3646
PPBOGReal,2024-02-10,P1D,COP/kWh,TX4,535.3409
PPBO,2024-02-10,P1D,COP/kWh,TX4,537.1359
PPBOGReal,2024-02-10,P1D,COP/kWh,TXF,535.424
PPBO,2024-02-10,P1D,COP/kWh,TXF,537.2203
PPBO,2024-02-09,P1D,COP/kWh,TXR,517.8378
PPBOGReal,2024-02-09,P1D,COP/kWh,TXR,517.2442
PPBO,2024-02-09,P1D,COP/kWh,TX3,516.0333
PPBOGReal,2024-02-09,P1D,COP/kWh,TX3,515.748
PPBO,2024-02-09,P1D,COP/kWh,TX2,517.7233
PPBOGReal,2024-02-09,P1D,COP/kWh,TX2,517.1312
PPBOGReal,2024-02-09,P1D,COP/kWh,TX1,517.2398
PPBO,2024-02-09,P1D,COP/kWh,TX5,516.1
PPBOGReal,2024-02-09,P1D,COP/kWh,TX5,515.8151
PPBO,2024-02-09,P1D,COP/kWh,TX4,516.1001
PPBOGReal,2024-02-09,P1D,COP/kWh,TX4,515.8151
PPBO,2024-02-09,P1D,COP/kWh,TX6,516.3281
PPBOGReal,2024-02-09,P1D,COP/kWh,TX6,516.0432
PPBO,2024-02-09,P1D,COP/kWh,TXF,517.8293
PPBOGReal,2024-02-09,P1D,COP/kWh,TXF,517.2232
PPBOGReal,2024-02-08,P1D,COP/kWh,TX2,434.9955
PPBO,2024-02-08,P1D,COP/kWh,TX3,438.9647
PPBOGReal,2024-02-08,P1D,COP/kWh,TX3,445.2033
PPBO,2024-02-08,P1D,COP/kWh,TXR,439.4734
PPBOGReal,2024-02-08,P1D,COP/kWh,TXR,445.7882
PPBOGReal,2024-02-08,P1D,COP/kWh,TX1,443.6984
PPBO,2024-02-08,P1D,COP/kWh,TXF,439.4383
PPBOGReal,2024-02-08,P1D,COP/kWh,TXF,445.7511
PPBO,2024-02-08,P1D,COP/kWh,TX4,438.6974
PPBOGReal,2024-02-08,P1D,COP/kWh,TX4,445.2382
PPBO,2024-02-08,P1D,COP/kWh,TX6,438.9196
PPBOGReal,2024-02-08,P1D,COP/kWh,TX6,445.4658
PPBO,2024-02-08,P1D,COP/kWh,TX5,438.6915
PPBOGReal,2024-02-08,P1D,COP/kWh,TX5,445.2377
PPBO,2024-02-08,P1D,COP/kWh,TX2,429.132
PPBO,2024-02-07,P1D,COP/kWh,TX6,560.0365
PPBOGReal,2024-02-07,P1D,COP/kWh,TX6,560.6885
PPBO,2024-02-07,P1D,COP/kWh,TX4,564.9745
PPBOGReal,2024-02-07,P1D,COP/kWh,TX4,566.0402
PPBO,2024-02-07,P1D,COP/kWh,TX5,559.8084
PPBOGReal,2024-02-07,P1D,COP/kWh,TX5,560.4604
PPBO,2024-02-07,P1D,COP/kWh,TXF,564.9769
PPBOGReal,2024-02-07,P1D,COP/kWh,TXF,566.0435
PPBO,2024-02-07,P1D,COP/kWh,TX3,559.7415
PPBOGReal,2024-02-07,P1D,COP/kWh,TX3,560.3939
PPBO,2024-02-07,P1D,COP/kWh,TXR,565.0765
PPBOGReal,2024-02-07,P1D,COP/kWh,TXR,566.1583
PPBO,2024-02-07,P1D,COP/kWh,TX2,565.3857
PPBOGReal,2024-02-07,P1D,COP/kWh,TX2,566.4169
PPBOGReal,2024-02-06,P1D,COP/kWh,TX2,569.8482
PPBO,2024-02-06,P1D,COP/kWh,TX2,560.7413
PPBOGReal,2024-02-06,P1D,COP/kWh,TXR,570.0233
PPBO,2024-02-06,P1D,COP/kWh,TXR,560.9113
PPBOGReal,2024-02-06,P1D,COP/kWh,TX3,576.287
PPBO,2024-02-06,P1D,COP/kWh,TX3,568.2182
PPBOGReal,2024-02-06,P1D,COP/kWh,TXF,569.9908
PPBO,2024-02-06,P1D,COP/kWh,TXF,560.7081
PPBOGReal,2024-02-06,P1D,COP/kWh,TX6,566.6524
PPBO,2024-02-06,P1D,COP/kWh,TX6,556.8578
PPBOGReal,2024-02-06,P1D,COP/kWh,TX5,566.4243
PPBO,2024-02-06,P1D,COP/kWh,TX5,556.6297
PPBOGReal,2024-02-06,P1D,COP/kWh,TX4,566.4247
PPBO,2024-02-06,P1D,COP/kWh,TX4,556.6355
PPBO,2024-02-05,P1D,COP/kWh,TX3,626.8352
PPBOGReal,2024-02-05,P1D,COP/kWh,TX3,631.3325
PPBO,2024-02-05,P1D,COP/kWh,TX2,626.4178
PPBOGReal,2024-02-05,P1D,COP/kWh,TX2,630.9202
PPBO,2024-02-05,P1D,COP/kWh,TXR,626.5321
PPBOGReal,2024-02-05,P1D,COP/kWh,TXR,631.0341
PPBO,2024-02-05,P1D,COP/kWh,TX6,627.1351
PPBOGReal,2024-02-05,P1D,COP/kWh,TX6,631.6324
PPBO,2024-02-05,P1D,COP/kWh,TX5,626.907
PPBOGReal,2024-02-05,P1D,COP/kWh,TX5,631.4043
PPBO,2024-02-05,P1D,COP/kWh,TXF,627.6006
PPBOGReal,2024-02-05,P1D,COP/kWh,TXF,631.9253
PPBO,2024-02-05,P1D,COP/kWh,TX4,626.9069
PPBOGReal,2024-02-05,P1D,COP/kWh,TX4,631.4032
PPBOGReal,2024-02-04,P1D,COP/kWh,TX4,622.8457
PPBOGReal,2024-02-04,P1D,COP/kWh,TX1,630.8943
PPBO,2024-02-04,P1D,COP/kWh,TX2,631.7856
PPBOGReal,2024-02-04,P1D,COP/kWh,TX2,630.8956
PPBO,2024-02-04,P1D,COP/kWh,TX3,626.3642
PPBOGReal,2024-02-04,P1D,COP/kWh,TX3,625.3655
PPBO,2024-02-04,P1D,COP/kWh,TXR,623.1193
PPBOGReal,2024-02-04,P1D,COP/kWh,TXR,622.1608
PPBO,2024-02-04,P1D,COP/kWh,TX5,623.7985
PPBOGReal,2024-02-04,P1D,COP/kWh,TX5,622.8472
PPBO,2024-02-04,P1D,COP/kWh,TXF,623.4894
PPBOGReal,2024-02-04,P1D,COP/kWh,TXF,622.5433
PPBO,2024-02-04,P1D,COP/kWh,TX6,624.0266
PPBOGReal,2024-02-04,P1D,COP/kWh,TX6,623.0753
PPBO,2024-02-04,P1D,COP/kWh,TX4,623.7983
PPBOGReal,2024-02-03,P1D,COP/kWh,TXR,671.1937
PPBOGReal,2024-02-03,P1D,COP/kWh,TX1,671.0808
PPBOGReal,2024-02-03,P1D,COP/kWh,TX2,671.0808
PPBO,2024-02-03,P1D,COP/kWh,TX3,670.7713
PPBOGReal,2024-02-03,P1D,COP/kWh,TX3,671.1884
PPBO,2024-02-03,P1D,COP/kWh,TX6,671.0673
PPBOGReal,2024-02-03,P1D,COP/kWh,TX6,671.4846
PPBO,2024-02-03,P1D,COP/kWh,TX4,670.8395
